height,weight,age,isManOfTheMatch,isActive,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonName,isOpta,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking,originCountry
170,72,33,False,True,Spain,33,1,22,25,21,4.818181818181818,0.30303030303030304,Lionel Messi,Lionel,Messi,11119,Forward,65,Barcelona,2019/2020,True,Spain,LaLiga,8.714242424242425,2881,4,0,82.58227848101266,1,Argentina
185,84,29,False,True,Spain,35,0,3,4,3,1.2857142857142851,2.914285714285714,Casemiro,Carlos Henrique,Casimiro,88526,Midfielder,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.471714285714287,3091,12,0,84.06874129122156,2,Brazil
185,81,33,False,True,Spain,37,1,10,21,8,3.351351351351351,0.7837837837837831,Karim Benzema,Karim,Benzema,14296,Forward,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.436486486486486,3155,0,0,86.22568093385215,3,France
182,86,34,False,False,Spain,28,6,3,16,8,2.821428571428571,0.42857142857142805,Luis Suárez,Luis,Suárez,22221,Forward,65,Barcelona,2019/2020,True,Spain,LaLiga,7.332857142857143,2002,4,0,75.53516819571865,4,Uruguay
188,83,24,False,True,Spain,36,1,5,5,1,1.222222222222222,5.083333333333333,Mikel Merino,Mikel,Merino,238916,Midfielder,68,Real Sociedad,2019/2020,True,Spain,LaLiga,7.313333333333333,3144,9,0,75.80144777662875,5,Spain
180,77,29,False,True,Spain,35,2,6,18,5,2.542857142857142,1.6,Gerard Moreno,Gerard,Moreno,97659,Forward,839,Villarreal,2019/2020,True,Spain,LaLiga,7.307714285714287,2755,5,0,74.45482866043614,6,Spain
173,72,27,False,True,Spain,32,1,8,7,4,3.1875,0.9687500000000001,Nabil Fekir,Nabil,Fekir,134893,Forward,54,Real Betis,2019/2020,True,Spain,LaLiga,7.2240625,2652,6,2,83.92857142857143,7,France
184,76,26,False,True,Spain,35,0,5,6,0,1.2571428571428571,3.4,Saúl Ñíguez,Saúl,Ñíguez,112161,Midfielder,63,Atletico,2019/2020,True,Spain,LaLiga,7.220285714285713,3076,10,0,79.25659472422062,8,Spain
192,80,31,False,True,Spain,36,5,10,11,2,2.416666666666666,8.666666666666666,Joselu,Jose Luis,Mato Sanmartín,74603,Forward,60,Deportivo Alaves,2019/2020,True,Spain,LaLiga,7.215555555555554,2786,6,0,52.01654601861427,9,Spain
187,84,26,False,True,Spain,33,2,4,14,3,2.545454545454545,0.9090909090909091,Lucas Ocampos,Lucas,Ocampos,115587,Midfielder,67,Sevilla,2019/2020,True,Spain,LaLiga,7.21090909090909,2756,8,1,79.8569725864124,10,Argentina
184,83,34,False,True,Spain,35,2,6,15,1,2.314285714285714,6.057142857142857,Raúl García,Raúl,García,11386,Midfielder,53,Athletic Bilbao,2019/2020,True,Spain,LaLiga,7.206857142857143,2878,11,0,55.863539445628994,11,Spain
183,76,31,False,True,Spain,35,4,2,4,5,1.6285714285714281,0.342857142857142,Toni Kroos,Toni,Kroos,31772,Midfielder,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.204000000000003,2656,2,0,93.4931506849315,12,Germany
173,73,29,False,True,Spain,31,0,3,1,5,0.6451612903225801,0.9354838709677411,Daniel Carvajal,Daniel,Carvajal,106883,Defender,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.176129032258066,2741,11,0,86.61654135338345,13,Spain
168,65,36,False,False,Spain,35,6,2,11,9,1.4,0.342857142857142,Santi Cazorla,Santiago,Cazorla,4522,Midfielder,839,Villarreal,2019/2020,True,Spain,LaLiga,7.16857142857143,2461,3,0,86.38676844783714,14,Spain
172,81,27,False,True,Spain,20,2,5,9,2,3.45,3.05,Chimy Avila,Ezequiel,Ávila,303707,Forward,131,Osasuna,2019/2020,True,Spain,LaLiga,7.156499999999999,1593,6,0,57.24137931034483,15,Argentina
174,71,28,False,False,Spain,29,4,4,4,1,1.103448275862069,0.9310344827586201,Rafinha,Rafael,Alcántara do Nascimento,106590,Midfielder,62,Celta Vigo,2019/2020,True,Spain,LaLiga,7.126896551724139,2121,5,0,87.109375,16,Brazil
178,68,22,False,False,Spain,31,2,4,4,6,1.612903225806451,0.32258064516129004,Martin Ødegaard,Martin,Ødegaard,247454,Midfielder,68,Real Sociedad,2019/2020,True,Spain,LaLiga,7.104516129032257,2533,3,0,84.73895582329317,17,Norway
174,77,32,False,False,Spain,33,5,4,3,7,1.212121212121212,0.48484848484848403,Éver Banega,Éver,Banega,33724,Midfielder,67,Sevilla,2019/2020,True,Spain,LaLiga,7.096969696969697,2483,10,0,86.02442333785618,18,Argentina
178,68,24,False,False,Spain,31,2,2,2,4,0.9032258064516121,1.290322580645161,Sergio Reguilón,Sergio,Reguilón,362275,Defender,67,Sevilla,2019/2020,True,Spain,LaLiga,7.096129032258064,2509,8,0,81.42857142857143,19,Spain
185,77,27,False,False,Spain,35,6,4,3,0,0.914285714285714,1.9142857142857141,Thomas Partey,Thomas,Partey,238940,Midfielder,63,Atletico,2019/2020,True,Spain,LaLiga,7.081428571428573,2553,13,0,83.38423946243128,20,Ghana
184,82,35,False,True,Spain,35,0,1,11,0,1.114285714285714,2.0,Sergio Ramos,Sergio,Ramos,9909,Defender,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.074285714285715,3017,10,0,91.02325581395348,21,Spain
189,76,32,False,True,Spain,33,4,1,2,2,0.30303030303030304,1.151515151515151,Sergio Busquets,Sergio,Busquets,44721,Midfielder,65,Barcelona,2019/2020,True,Spain,LaLiga,7.070303030303031,2491,10,0,89.90291262135922,22,Spain
184,78,25,False,False,Spain,36,8,5,2,0,0.833333333333333,2.25,André-Frank Zambo Anguissa,André-Frank,Zambo Anguissa,349561,Midfielder,839,Villarreal,2019/2020,True,Spain,LaLiga,7.063055555555555,2582,6,0,87.81656399726215,23,Cameroon
181,78,24,False,True,Spain,37,1,5,10,11,1.675675675675675,1.3243243243243241,Mikel Oyarzabal,Mikel,Oyarzabal,298839,Forward,68,Real Sociedad,2019/2020,True,Spain,LaLiga,7.048378378378379,3063,4,0,77.50965250965251,24,Spain
194,85,34,False,True,Spain,35,0,1,1,0,0.4,3.685714285714285,Gerard Piqué,Gerard,Piqué,12712,Defender,65,Barcelona,2019/2020,True,Spain,LaLiga,7.033142857142858,3096,15,0,91.7568071615069,25,Spain
176,77,29,False,True,Spain,32,2,1,4,5,0.7187500000000001,0.875,Koke,Jorge,Resurrección,80764,Midfielder,63,Atletico,2019/2020,True,Spain,LaLiga,7.0178125,2699,5,0,85.21897810218978,26,Spain
182,74,32,False,False,Spain,35,0,6,8,3,0.9714285714285711,0.48571428571428504,Daniel Parejo,Daniel,Parejo,28186,Midfielder,55,Valencia,2019/2020,True,Spain,LaLiga,7.013999999999998,3030,4,1,86.30686886708297,27,Spain
172,66,35,False,True,Spain,31,9,4,3,7,0.9677419354838711,0.35483870967741904,Luka Modric,Luka,Modric,20874,Midfielder,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.005806451612903,1998,7,1,88.55291576673866,28,Croatia
